Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,AngX,AngY,AngZ,MagX,MagY,MagZ,Tag
0,-0.015136720000000001,-0.8803711,-0.4448242,-0.6103516,-0.06103516,0.0,-119.2456,3.718872,-35.16174,6.141667,-11.1,81.20834,1
1479,-0.01904297,-0.8808594,-0.43603519999999996,1.098633,-0.42724609999999996,-0.3662109,-118.949,3.554077,-32.77771,-15.10833,-7.441667,0.125,1
1679,-0.01904297,-0.8808594,-0.43603519999999996,1.098633,-0.42724609999999996,-0.3662109,-118.949,3.554077,-32.77771,-14.975,-7.575,-0.08333334,1
1879,-0.01904297,-0.8808594,-0.43603519999999996,1.098633,-0.42724609999999996,-0.3662109,-118.949,3.554077,-32.77771,-14.95,-7.45,0.2666667,1
2079,-0.01904297,-0.8808594,-0.43603519999999996,1.098633,-0.42724609999999996,-0.3662109,-118.949,3.554077,-32.77771,-15.225,-7.241667,-0.17500000000000002,1
2300,-0.002441406,-0.8745117,-0.4521484,-5.493164,-0.793457,-3.601074,-119.35,2.817993,-30.6134,-14.725,-7.85,-0.8166667,1
2539,0.01806641,-0.8745117,-0.4643555,0.793457,3.356934,-1.220703,-120.141,2.120361,-29.98169,-14.93333,-7.6,0.425,1
2750,0.01269531,-0.8789062999999999,-0.45068359999999996,1.159668,-1.464844,3.2958979999999998,-119.4379,2.39502,-30.16846,5.591667,-12.04167,81.625,1
3049,-0.007324219000000001,-0.8779296999999999,-0.4482422,-1.281738,-0.6713867,1.159668,-119.4763,2.834473,-29.72351,-14.98333,-7.691667,-0.2833333,1
3300,-0.008300781,-0.871582,-0.4619141,-1.586914,-1.098633,0.4882813,-120.0476,3.015747,-29.1687,-14.85,-7.833333,-0.5,1
3559,-0.02148438,-0.8657227,-0.4838867,-0.6103516,-0.06103516,0.42724609999999996,-120.7178,3.466187,-28.25684,6.666667,-12.61667,83.15,1
3859,-0.0078125,-0.8671875,-0.47412109999999996,-0.3051758,-1.220703,-1.7700200000000001,-120.5145,3.218994,-28.3667,-14.8,-7.966667,-0.2666667,1
4109,-0.01171875,-0.8725586,-0.4848633,3.2958979999999998,0.0,0.24414059999999999,-120.5365,3.202515,-27.70203,-14.75833,-7.733333,0.36666669999999996,1
4379,-0.015625,-0.8696288999999999,-0.4628906,0.5493163999999999,0.4882813,0.06103516,-119.9597,3.087158,-27.53174,6.2,-12.15833,82.41666,1
4679,-0.01416016,-0.8691405999999999,-0.4545898,-1.159668,-1.281738,-0.12207029999999999,-119.9982,3.12561,-27.1637,-14.88333,-8.116667,-0.40833329999999995,1
4929,-0.0078125,-0.8730469,-0.48291019999999996,6.04248,2.685547,0.6103516,-120.2838,3.257446,-26.6803,-14.89167,-7.725,0.7333333,1
5199,-0.01806641,-0.8896484,-0.4677734,7.385254,0.42724609999999996,-0.7324219,-118.2733,2.839966,-27.8833,5.858333,-10.88333,80.38333,1
5539,-0.004882813000000001,-0.8959961,-0.40380859999999996,-0.6103516,-1.89209,-1.220703,-116.7133,2.614746,-26.54846,-15.26667,-6.85,-0.05,1
5749,-0.006347656,-0.8969727,-0.4130859,-0.5493163999999999,0.24414059999999999,0.5493163999999999,-116.8066,2.598267,-26.06506,-15.31667,-7.075,-0.30000000000000004,1
5959,-0.006835938000000001,-0.8935546999999999,-0.4160156,-2.13623,-0.8544921999999999,0.3051758,-117.1417,2.70813,-25.74646,-15.25,-7.1,-0.31666669999999997,1
6170,-0.011230470000000001,-0.8896484,-0.4208984,-0.3051758,0.0,0.06103516,-117.5262,2.785034,-25.21912,6.091667,-10.78333,80.45834,1
6419,-0.008789063,-0.8911133,-0.4238281,0.3051758,0.06103516,0.0,-117.5372,2.763062,-24.91699,6.1,-10.71667,80.35833,1
6649,-0.009277344,-0.8925780999999999,-0.4223633,-0.06103516,-0.06103516,-0.06103516,-117.4493,2.735596,-24.64783,-15.20833,-7.141667,0.125,1
6949,-0.009765625,-0.8925780999999999,-0.4155273,1.159668,-0.3051758,0.3662109,-117.0758,2.741089,-24.17542,-15.26667,-7.016667,0.08333334,1
7190,-0.01025391,-0.8945312999999999,-0.4169922,-1.098633,-0.24414059999999999,0.0,-117.0703,2.757568,-23.746950000000002,6.3,-10.55833,80.20834,1
7489,-0.01025391,-0.8925780999999999,-0.4169922,-0.5493163999999999,0.06103516,0.0,-117.2681,2.735596,-23.47229,-15.23333,-7.233333,-0.125,1
7739,-0.01367188,-0.8896484,-0.42822269999999996,-2.990723,-1.953125,0.9765625,-117.6471,2.785034,-23.13171,-15.1,-7.266667,-0.5666667,1
8009,-0.01464844,-0.8828125,-0.44384769999999996,-2.502441,-1.159668,-0.12207029999999999,-118.7567,3.103638,-22.23633,6.641667,-11.36667,81.775,1
8309,-0.0234375,-0.8818359,-0.4448242,1.8310549999999999,1.708984,-0.1831055,-118.526,2.971802,-22.21436,-15.15833,-7.616667,0.25,1
8549,-0.01171875,-0.887207,-0.43505859999999996,1.7700200000000001,0.4882813,0.42724609999999996,-118.0151,2.768555,-21.95068,-15.15833,-7.316667,0.2333333,1
8829,-0.01464844,-0.8862304999999999,-0.42724609999999996,-0.3662109,-1.281738,0.3662109,-117.746,2.807007,-21.70898,-15.11667,-7.2,-0.24166669999999998,1
9079,-0.015136720000000001,-0.8876953,-0.43603519999999996,-0.42724609999999996,-0.1831055,0.0,-118.1635,2.938843,-21.23108,-15.1,-7.35,-0.24166669999999998,1
9349,-0.01318359,-0.8803711,-0.4628906,-5.249023,0.0,-0.6713867,-119.306,2.883911,-20.80261,-15.01667,-8.183333,0.275,1
9689,-0.026367190000000002,-0.8803711,-0.44238279999999996,6.530762,-2.685547,1.6479489999999999,-118.3502,3.191528,-20.3302,-15.1,-6.991667,0.5166666999999999,1
9919,-0.030273440000000002,-0.8935546999999999,-0.4287109,0.7324219,-3.540039,6.225586,-117.4713,4.152832,-19.74792,-15.10833,-7.25,-0.55,1
10139,-0.08007813,-0.8886719,-0.45898439999999996,-3.662109,-13.12256,2.319336,-118.3997,6.146851,-17.94067,9.9,-10.35,83.39167,1
10420,-0.1303711,-0.8769530999999999,-0.4306641,1.342773,0.5493163999999999,0.5493163999999999,-118.147,8.475952,-14.85901,12.31667,-10.23333,85.26667,1
10649,-0.09326172,-0.8779296999999999,-0.4375,-2.01416,9.58252,-6.591797,-118.3832,6.965332,-16.18835,-15.0,-7.525,-0.3416667,1
10919,-0.06982422,-0.8818359,-0.4716797,-2.502441,2.868652,-6.103516,-118.9709,5.169067,-16.82007,-14.88333,-7.783333,-0.01666667,1
11139,-0.01464844,-0.8911133,-0.4492188,-7.507324,8.972168,-14.16016,-119.5203,2.6202389999999998,-17.85278,-14.54167,-8.375,-1.5833329999999999,1
11359,0.03662109,-0.8535155999999999,-0.5,-2.563477,0.1831055,1.708984,-121.712,0.1812744,-16.82007,-14.55833,-8.875,0.075,1
11630,-0.004394531,-0.8735352,-0.49121089999999995,-0.4882813,8.300781,12.146,-121.1462,1.087646,-19.23157,5.558333,-13.525,82.94167,1
11899,-0.0034179690000000003,-0.8461913999999999,-0.4619141,2.13623,3.967285,2.441406,-121.0419,1.115112,-21.95618,-14.775,-8.35,-0.01666667,1
12149,-0.0234375,-0.8227538999999999,-0.4765625,-0.42724609999999996,-6.04248,0.1831055,-120.4047,1.148071,-20.4126,5.233333,-12.525,81.86667,1
12459,-0.007324219000000001,-0.8745117,-0.4677734,1.953125,-1.586914,-1.037598,-119.8718,1.367798,-18.62183,5.65,-12.575,82.075,1
12719,-0.002441406,-0.8681641,-0.44189449999999997,-0.42724609999999996,-0.12207029999999999,0.793457,-119.328,1.439209,-18.3197,-14.90833,-7.95,0.08333334,1
12969,-0.001953125,-0.875,-0.4648438,2.197266,1.220703,0.6103516,-119.3555,1.543579,-18.22083,5.791667,-12.125,81.70834,1
13269,-0.00390625,-0.8769530999999999,-0.43603519999999996,0.1831055,-0.12207029999999999,0.5493163999999999,-118.7512,1.746826,-17.88574,-14.96667,-7.625,-0.01666667,1
